,smrbci,dynamical,exponential
263,"(0.9185592532157898, 0.0814407542347908)","(0.43124493956565857, 0.5687550902366638)","(0.31630420684814453, 0.6836957931518555)"
264,"(0.9997482895851135, 0.0002516899548936635)","(0.44830000400543213, 0.5516999959945679)","(0.3472501337528229, 0.6527498960494995)"
265,"(0.9965488314628601, 0.0034511424601078033)","(0.46474745869636536, 0.5352525115013123)","(0.3774331510066986, 0.622566819190979)"
266,"(0.9765257835388184, 0.023474186658859253)","(0.4801008105278015, 0.5198991894721985)","(0.40444716811180115, 0.5955528020858765)"
267,"(0.5346988439559937, 0.46530115604400635)","(0.4801008105278015, 0.5198991894721985)","(0.40661051869392395, 0.5933895111083984)"
268,"(0.14361438155174255, 0.8563856482505798)","(0.47000622749328613, 0.5299937725067139)","(0.3961837887763977, 0.6038162112236023)"
269,"(0.21661785244941711, 0.7833821773529053)","(0.4624045789241791, 0.5375954508781433)","(0.39079636335372925, 0.6092036366462708)"
270,"(0.5323355197906494, 0.4676644802093506)","(0.4624045789241791, 0.5375954508781433)","(0.3931460976600647, 0.6068539023399353)"
271,"(0.7219545245170593, 0.27804550528526306)","(0.4701910614967346, 0.5298089385032654)","(0.3995552361011505, 0.6004447937011719)"
272,"(0.34371569752693176, 0.6562843322753906)","(0.4663968086242676, 0.5336031913757324)","(0.3989538252353668, 0.6010462045669556)"
273,"(0.490599662065506, 0.5094003081321716)","(0.4663968086242676, 0.5336031913757324)","(0.4007013440132141, 0.5992986559867859)"
274,"(0.8340100049972534, 0.16598999500274658)","(0.4774251878261566, 0.522574782371521)","(0.4129919707775116, 0.587007999420166)"
275,"(0.9487568736076355, 0.05124310776591301)","(0.49156513810157776, 0.5084348917007446)","(0.4359319806098938, 0.5640680193901062)"
276,"(0.6135765314102173, 0.3864234685897827)","(0.4952254593372345, 0.5047745108604431)","(0.4386976957321167, 0.5613023042678833)"
277,"(0.7241372466087341, 0.27586275339126587)","(0.5020928382873535, 0.49790719151496887)","(0.44442018866539, 0.5555797815322876)"
278,"(0.8824751377105713, 0.11752484738826752)","(0.5135042667388916, 0.4864957332611084)","(0.4598635137081146, 0.540136456489563)"
279,"(0.9999145269393921, 8.549972699256614e-05)","(0.5280965566635132, 0.4719034433364868)","(0.4887557625770569, 0.5112442374229431)"
280,"(0.9998142719268799, 0.00018573824490886182)","(0.5422480702400208, 0.45775189995765686)","(0.5170742273330688, 0.48292577266693115)"
281,"(0.9970401525497437, 0.0029598684050142765)","(0.5558918118476868, 0.44410815834999084)","(0.5444340705871582, 0.4555659294128418)"
282,"(0.9777301549911499, 0.02226984314620495)","(0.5685469508171082, 0.43145301938056946)","(0.5685728788375854, 0.43142712116241455)"
283,"(0.9999996423721313, 3.446290577358013e-07)","(0.5814905166625977, 0.41850945353507996)","(0.5953927040100098, 0.40460729598999023)"
284,"(0.9999858736991882, 1.4133756849332713e-05)","(0.5940454006195068, 0.40595459938049316)","(0.6217527389526367, 0.3782472610473633)"
285,"(1.0, 2.582106306547871e-09)","(0.606224000453949, 0.393775999546051)","(0.6477135419845581, 0.3522864580154419)"
286,"(0.999969482421875, 3.0495644750772044e-05)","(0.6180363893508911, 0.3819636404514313)","(0.6733325719833374, 0.3266674280166626)"
287,"(0.9999939799308777, 6.0373022279236466e-06)","(0.6294950842857361, 0.3705049157142639)","(0.6986873149871826, 0.3013126850128174)"
288,"(0.998235285282135, 0.001764720189385116)","(0.6405572891235352, 0.35944271087646484)","(0.7235910892486572, 0.2764089107513428)"
289,"(0.9990804195404053, 0.0009195874445140362)","(0.6513129472732544, 0.3486870229244232)","(0.7484997510910034, 0.2515002489089966)"
290,"(0.9962307214736938, 0.0037692920304834843)","(0.6616604924201965, 0.33833950757980347)","(0.7729524374008179, 0.22704756259918213)"
291,"(0.998833417892456, 0.0011666114442050457)","(0.6717756390571594, 0.3282243311405182)","(0.7978146076202393, 0.20218539237976074)"
292,"(0.9845595359802246, 0.015440434217453003)","(0.6811591982841492, 0.3188408315181732)","(0.8207601308822632, 0.17923986911773682)"
293,"(0.9768784642219543, 0.023121511563658714)","(0.6900307536125183, 0.3099692463874817)","(0.8428245186805725, 0.1571754813194275)"
294,"(0.9385403990745544, 0.06145961955189705)","(0.6974860429763794, 0.302513986825943)","(0.8603307604789734, 0.1396692395210266)"
295,"(0.7674978375434875, 0.23250217735767365)","(0.6995863914489746, 0.3004136085510254)","(0.864381730556488, 0.13561826944351196)"
296,"(0.02721092663705349, 0.9727890491485596)","(0.6794151067733765, 0.32058486342430115)","(0.8376879096031189, 0.1623120903968811)"
297,"(0.01763329841196537, 0.982366681098938)","(0.6595616936683655, 0.3404383063316345)","(0.8093962669372559, 0.19060373306274414)"
298,"(0.09266304224729538, 0.907336950302124)","(0.642554759979248, 0.35744524002075195)","(0.7897382378578186, 0.2102617621421814)"
299,"(0.4295489490032196, 0.5704510807991028)","(0.6361646056175232, 0.3638354241847992)","(0.7858546376228333, 0.21414536237716675)"
300,"(0.698427140712738, 0.30157288908958435)","(0.6380324363708496, 0.361967533826828)","(0.7864472270011902, 0.21355277299880981)"
301,"(0.42171216011047363, 0.5782878398895264)","(0.6315428614616394, 0.3684571385383606)","(0.782436728477478, 0.21756327152252197)"
302,"(0.12766891717910767, 0.8723310828208923)","(0.6164266467094421, 0.38357335329055786)","(0.765896737575531, 0.234103262424469)"
303,"(0.015741998329758644, 0.9842579960823059)","(0.5984061360359192, 0.4015938639640808)","(0.7368983626365662, 0.26310163736343384)"
304,"(0.00962201040238142, 0.9903779625892639)","(0.580742597579956, 0.41925737261772156)","(0.707041323184967, 0.29295867681503296)"
305,"(0.11903326958417892, 0.8809667229652405)","(0.5668913722038269, 0.4331086277961731)","(0.6897910833358765, 0.31020891666412354)"
306,"(0.30054670572280884, 0.6994532942771912)","(0.5589010119438171, 0.44109898805618286)","(0.6832149624824524, 0.3167850375175476)"
307,"(0.64076167345047, 0.35923832654953003)","(0.5613568425178528, 0.4386431574821472)","(0.6824466586112976, 0.3175533413887024)"
308,"(0.8033627271652222, 0.19663724303245544)","(0.5686169862747192, 0.4313829839229584)","(0.6880370378494263, 0.31196296215057373)"
309,"(0.9858088493347168, 0.014191160909831524)","(0.5811327695846558, 0.41886723041534424)","(0.7112492918968201, 0.28875070810317993)"
310,"(0.9984617829322815, 0.0015381998382508755)","(0.593652606010437, 0.406347393989563)","(0.7361171245574951, 0.2638828754425049)"
311,"(0.9994518756866455, 0.0005481232656165957)","(0.6058265566825867, 0.39417341351509094)","(0.7610489130020142, 0.23895108699798584)"
312,"(0.9993665814399719, 0.0006334296776913106)","(0.6176327466964722, 0.38236722350120544)","(0.7859638929367065, 0.21403610706329346)"
313,"(0.9998949766159058, 0.00010502374789211899)","(0.6291006207466125, 0.37089937925338745)","(0.811028003692627, 0.18897199630737305)"
314,"(0.9999731183052063, 2.688753193069715e-05)","(0.6402267813682556, 0.3597732186317444)","(0.8362510204315186, 0.16374897956848145)"
315,"(0.999995768070221, 4.217048171994975e-06)","(0.6510198712348938, 0.3489801585674286)","(0.8616981506347656, 0.13830184936523438)"
316,"(0.9999999403953552, 8.744271440264129e-08)","(0.6614892482757568, 0.33851075172424316)","(0.8874366879463196, 0.11256331205368042)"
317,"(0.9999999403953552, 7.4885868173169e-08)","(0.6716445684432983, 0.32835546135902405)","(0.9135311841964722, 0.08646881580352783)"
318,"(0.9999986886978149, 1.3192608321332955e-06)","(0.681495189666748, 0.31850484013557434)","(0.9400404691696167, 0.0599595308303833)"
319,"(0.9999098181724548, 9.015789692057297e-05)","(0.6910476088523865, 0.3089523911476135)","(0.9670026302337646, 0.03299736976623535)"
